university,name,title,citations,citations2017,h_index,h_index2017
Princeton,Mark A. Aguiar,Professor,,,,
Princeton,Yacine Ait-Sahalia,Professor,21219,7119,53,43
Princeton,Orley Ashenfelter,Professor,28872,7012,77,42
Princeton,Roland Benabou,Professor,32700,13112,48,34
Princeton,Alan S. Blinder,Professor,,,,
Princeton,Leah Platt Boustan,Professor,,,,
Princeton,Markus Brunnermeier,Professor,39470,19397,56,52
Princeton,Nicholas Buchholz,Assistant Professor,253,245,4,4
Princeton,Matias Cattaneo,Professor,11577,10245,35,33
Princeton,Sylvain Chassang,Professor,1808,1215,16,14
Princeton,Natalie Cox,Assistant Professor,,,,
Princeton,Janet M. Currie,Professor,,,,
Princeton,Ellora Derenoncourt,Assistant Professor,,,,
Princeton,Jianqing Fan,Professor,74440,34310,115,88
Princeton,Henry S. Farber,Professor,,,,
Princeton,Thomas Fujiwara,Associate Professor,1748,1325,12,11
Princeton,John R. Grigsby,Assistant Professor,,,,
Princeton,Gene M. Grossman,Professor,,,,
Princeton,Faruk R. Gul,Professor,,,,
Princeton,Kate Ho,Professor,3252,2094,17,15
Princeton,Bo E. Honoré,Professor,,,,
Princeton,Seema Jayachandran,Professor,7470,5275,25,25
Princeton,Adam Kapor,Assistant Professor,293,273,7,7
Princeton,Jakub Kastl,Professor,954,558,13,11
Princeton,Nobuhiro Kiyotaki,Professor,25041,8767,39,28
Princeton,Henrik J. Kleven,Professor,,,,
Princeton,Michal Kolesár,Professor,1734,1549,15,15
Princeton,Ilyana Kuziemko,Professor,,,,
Princeton,David Lee,Professor,16964,8933,23,21
Princeton,Moritz Lenel,Assistant Professor,160,159,7,7
Princeton,Ernest Liu,Assistant Professor,534,530,10,10
Princeton,Alessandro Lizzeri,Professor,5860,2128,26,22
Princeton,Alexandre Mas,Professor,7993,5262,25,24
Princeton,Adrien Matray,Assistant Professor,1331,1265,13,13
Princeton,Atif Mian,Professor,22168,13295,39,38
Princeton,Eduardo Morales,Professor,1819,1604,9,9
Princeton,Xiaosheng Mu,Assistant Professor,203,197,9,9
Princeton,Ulrich K. Müller,Professor,,,,
Princeton,Ezra Oberfield,Associate Professor,1606,1393,12,11
Princeton,Pietro Ortoleva,Professor,2302,1785,22,21
Princeton,Jonathan Payne,Assistant Professor,60,57,5,5
Princeton,Wolfgang Pesendorfer,Professor,10267,3214,35,26
Princeton,Mikkel Plagborg-Moller,Assistant Professor,1767,1624,14,14
Princeton,Stephen J. Redding,Professor,,,,
Princeton,Richard Rogerson,Professor,24337,9090,57,39
Princeton,Cecilia Rouse,Professor,,,,
Princeton,David Schoenherr,Assistant Professor,489,440,7,7
Princeton,Maria Micaela Sviatschi,Assistant Professor,331,303,10,9
Princeton,Can Urgun,Assistant Professor,42,40,4,4
Princeton,Giovanni (Gianluca) Violante,Professor,,,,
Princeton,Leonard Wantchekon,Professor,8470,4255,28,20
Princeton,Mark W. Watson,Professor,,,,
Princeton,Wei Xiong,Professor,18562,9873,45,41
Princeton,Leeat Yariv,Professor,5577,2984,35,29
Princeton,Motohiro Yogo,Professor,21087,10308,29,27
Princeton,Owen Zidar,Professor,1982,1859,11,11
Boston University,Marianne Baxter,Professor,15272,3002,27,16
Boston University,Christophe Chamley,Professor,,,,
Boston University,Krishna Dasaratha,Assistant Professor,171,154,8,8
Boston University,Randall P. Ellis,Professor,9616,2453,43,27
Boston University,James Feigenbaum,Assistant Professor,1255,1181,16,15
Boston University,Ivan Fernandez-Val,Professor,5373,3613,24,23
Boston University,Raymond Fisman,Professor,24317,11801,58,50
Boston University,Martin Fiszbein,Assistant Professor,431,406,7,7
Boston University,Jean-Jacques Forneron,Assistant Professor,64,55,3,3
Boston University,Masao Fukui,Assistant Professor,,,,
Boston University,Stefania Garetto,Associate Professor,418,284,6,6
Boston University,Joshua Goodman,Associate Professor,3537,2936,24,23
Boston University,Adam Guren,Associate Professor,2033,1528,12,11
Boston University,Tarek Hassan,Associate Professor,2978,2447,18,16
Boston University,Jihye Jeon,Assistant Professor,117,114,4,4
Boston University,Hiroaki Kaido,Associate Professor,402,313,9,9
Boston University,Robert G. King,Professor,54670,12549,63,35
Boston University,Laurence J. Kotlikoff,Professor,,,,
Boston University,David Lagakos,Associate Professor,3428,2653,22,21
Boston University,Kevin Lang,Professor,12402,4363,52,29
Boston University,Barton Lipman,Professor,4946,1269,30,22
Boston University,Robert E.B. Lucas,Professor,,,,
Boston University,Ching-To Albert MA,Professor,3956,873,28,16
Boston University,Michael Manove,Professor,2242,665,15,8
Boston University,Chiara Margaria,Assistant Professor,41,40,3,3
Boston University,Robert A. Margo,Professor,8558,2787,48,29
Boston University,Jianjun Miao,Professor,6117,3062,39,31
